Показатель,Статистика W,p-value,Вывод,Статистика,Статистика U
gdp_per_capita,0.5443,0.0000,Не нормальное,,
unemployment_rate,0.9492,0.5868,Нормальное,,
average_salary,0.8652,0.0452,Не нормальное,,
total_gdp,0.7872,0.0048,Не нормальное,,
Корреляция gdp_per_capita-unemployment_rate,,0.0002,Отрицательная корреляция,-0.850,
Корреляция gdp_per_capita-average_salary,,0.0000,Положительная корреляция,0.988,
Корреляция unemployment_rate-average_salary,,0.0001,Отрицательная корреляция,-0.868,
Сравнение ВВП по группам безработицы,,0.0528,Различий нет,,35.00
